Date,Net Sales,Orders,Guests
02/23/2018,6893.62,171,239,
02/24/2018,8119.37,195,303,
02/25/2018,6796.15,150,246,
02/26/2018,4366.57,101,135,
02/27/2018,4562.37,99,161,
02/28/2018,5355.79,133,206,
03/01/2018,3274.4,82,115,
03/02/2018,7390.19,151,211,
03/03/2018,11798.29,279,445,
03/04/2018,7144.86,153,263,
03/05/2018,3820.02,81,122,
03/06/2018,3955.88,103,138,
03/07/2018,4464.54,107,148,
03/08/2018,4062.81,111,146,
03/09/2018,8149.93,212,309,
03/10/2018,14262.18,196,320,
03/11/2018,8933.45,162,314,
03/12/2018,2107.95,74,85,
03/13/2018,4792.47,118,154,
03/14/2018,4597.08,120,184,
03/15/2018,5961.56,141,198,
03/16/2018,7660.72,177,260,
03/17/2018,13572.19,273,426,
03/18/2018,9198.02,168,313,
03/19/2018,3490.26,90,136,
03/20/2018,5139.5,116,151,
03/21/2018,4829.71,109,162,
03/22/2018,4464.93,105,154,
03/23/2018,6485.14,152,232,
03/24/2018,21416.32,197,313,
03/25/2018,9954.66,192,333,
03/26/2018,3999.44,92,147,
03/27/2018,3495.86,92,133,
03/28/2018,4587.59,99,164,
03/29/2018,4234.02,119,164,
03/30/2018,7862.92,212,283,
03/31/2018,11263.3,201,355,
04/01/2018,7898.49,146,262,
04/02/2018,3268.42,93,148,
04/03/2018,3293.48,75,110,
04/04/2018,5167.21,134,197,
04/05/2018,4567.1,111,155,
04/06/2018,7728.32,181,277,
04/07/2018,12527.44,199,359,
04/08/2018,6547.11,124,221,
04/09/2018,3641.43,94,141,
04/10/2018,2884.7,81,113,
04/11/2018,6040.41,134,210,
04/12/2018,4936.08,118,180,
04/13/2018,10904.15,216,364,
04/14/2018,12534.82,240,428,
04/15/2018,5995.37,131,229,
04/16/2018,4486.71,99,157,
04/17/2018,3782.79,105,147,
04/18/2018,5570.58,126,188,
04/19/2018,3415.84,99,132,
04/20/2018,11529.69,182,289,
04/21/2018,11518.87,215,387,
04/22/2018,10148.57,201,368,
04/23/2018,3896.82,112,151,
04/24/2018,3234.39,106,149,
04/25/2018,5698.77,123,201,
04/26/2018,6177.66,154,257,
04/27/2018,8523.73,188,278,
04/28/2018,11116.8,226,406,
04/29/2018,7370.32,145,269,
04/30/2018,4102.63,103,152,
05/01/2018,5082.45,120,229,
05/02/2018,7441.53,157,299,
05/03/2018,5035.04,126,185,
05/04/2018,8266.97,193,297,
05/05/2018,8846.13,187,334,
05/06/2018,9229.58,160,305,
05/07/2018,4524.05,105,162,
05/08/2018,4450.49,116,182,
05/09/2018,6157.96,150,361,
05/10/2018,4879.31,118,194,
05/11/2018,8907.4,226,337,
05/12/2018,11096.36,238,378,
05/13/2018,8759.32,158,326,
05/14/2018,4543.32,108,183,
05/15/2018,5384.06,127,182,
05/16/2018,5274.93,118,233,
05/17/2018,3377.88,102,164,
05/18/2018,6934.9,133,222,
05/19/2018,13412.43,165,327,
05/20/2018,7459.41,150,259,
05/21/2018,3760.68,101,140,
05/22/2018,4493.98,86,133,
05/23/2018,5854.09,127,197,
05/24/2018,4885.85,123,214,
05/25/2018,7273.26,171,254,
05/26/2018,7213.28,151,287,
05/27/2018,6766.19,119,220,
05/28/2018,5544.95,117,196,
05/29/2018,3291.08,87,124,
05/30/2018,5085.32,108,179,
05/31/2018,5602.54,114,190,
06/01/2018,9036.38,223,321,
06/02/2018,10271.87,216,373,
06/03/2018,7546.57,148,276,
06/04/2018,3049.47,80,112,
06/05/2018,3585.9,91,132,
06/06/2018,5547.09,116,206,
06/07/2018,3653.08,88,132,
06/08/2018,7300.31,154,247,
06/09/2018,9625.17,160,303,
06/10/2018,6218.8,127,224,
06/11/2018,3472.75,92,137,
06/12/2018,5185.02,107,156,
06/13/2018,4328.51,101,183,
06/14/2018,4634.55,129,183,
06/15/2018,7306.48,171,272,
06/16/2018,14004.89,195,331,
06/17/2018,9771.02,185,384,
06/18/2018,3655.15,92,133,
06/19/2018,4835.42,126,186,
06/20/2018,6029.73,130,210,
06/21/2018,5844.2,162,238,
06/22/2018,8804.3,206,304,
06/23/2018,9750.91,210,371,
