DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
2017-05-02,17.22,0.0,0.0,0.0,72.0,76,63,260,250,42.9,53.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-03,16.11,0.0,0.0,0.0,63.0,67,49,330,310,25.1,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-04,9.84,0.0,0.0,0.0,54.0,61,44,150,140,18.1,23.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-05,10.51,3.05,0.0,0.0,55.0,60,53,90,90,19.9,28.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-05-06,11.86,0.1,0.0,0.0,60.0,66,53,240,240,25.1,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-07,13.42,0.0,0.0,0.0,54.0,58,47,290,290,25.1,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-08,10.29,0.0,0.0,0.0,51.0,60,43,320,280,23.9,35.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-09,8.28,0.0,0.0,0.0,54.0,64,45,300,300,17.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-10,4.92,0.0,0.0,0.0,55.0,64,49,250,240,14.1,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-11,6.93,0.0,0.0,0.0,54.0,62,46,20,120,14.1,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-12,6.71,0.0,0.0,0.0,54.0,62,45,150,150,15.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-13,12.3,1.79,0.0,0.0,51.0,53,43,20,30,23.9,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-14,13.65,0.09,0.0,0.0,53.0,70,44,310,310,28.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-15,18.12,0.0,0.0,0.0,61.0,71,53,290,320,31.1,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-16,8.28,0.0,0.0,0.0,67.0,81,55,240,270,19.9,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-17,10.74,0.0,0.0,0.0,76.0,92,59,240,190,23.9,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-18,13.42,0.0,0.0,0.0,84.0,94,74,220,230,25.1,35.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-19,14.99,0.0,0.0,0.0,85.0,93,66,260,240,25.1,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-20,10.07,0.0,0.0,0.0,65.0,66,53,20,10,23.0,27.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-21,7.83,0.0,0.0,0.0,59.0,66,51,150,150,16.1,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-22,4.47,0.7,0.0,0.0,57.0,60,55,280,110,13.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-23,6.04,0.0,0.0,0.0,62.0,70,56,10,330,14.1,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-24,7.16,0.04,0.0,0.0,63.0,70,57,150,130,15.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-25,10.07,0.95,0.0,0.0,58.0,59,56,40,60,17.0,23.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-05-26,11.18,0.15,0.0,0.0,63.0,76,55,260,240,23.0,27.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-27,6.04,0.0,0.0,0.0,67.0,74,58,260,270,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-28,7.38,0.0,0.0,0.0,65.0,71,58,130,120,15.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2017-05-29,6.71,0.14,0.0,0.0,60.0,61,57,90,90,14.1,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-30,6.71,0.18,0.0,0.0,57.0,59,55,140,130,13.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-31,6.93,0.05,0.0,0.0,64.0,80,58,240,240,16.1,21.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-06-01,8.95,0.0,0.0,0.0,71.0,82,61,270,280,19.9,31.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-02,10.51,0.0,0.0,0.0,70.0,80,58,300,260,25.1,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-03,10.74,0.03,0.0,0.0,65.0,76,55,280,310,25.1,33.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-04,6.26,0.1,0.0,0.0,65.0,70,54,10,130,14.1,18.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-05,6.93,0.05,0.0,0.0,63.0,71,56,40,40,15.0,19.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2017-06-06,9.84,0.05,0.0,0.0,58.0,60,53,20,30,17.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-07,7.83,0.0,0.0,0.0,59.0,70,52,10,20,13.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-08,5.59,0.0,0.0,0.0,62.0,72,54,150,150,16.1,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-09,9.62,0.0,0.0,0.0,67.0,84,52,300,280,21.0,29.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
