,net_sales,day_of_week
2018-04-29,7370.32,Sunday
2018-04-30,4102.63,Monday
2018-05-01,5082.45,Tuesday
2018-05-02,7441.53,Wednesday
2018-05-03,5035.04,Thursday
2018-05-04,8266.97,Friday
2018-05-05,8846.13,Saturday
2018-05-06,9229.58,Sunday
2018-05-07,4524.05,Monday
2018-05-08,4450.49,Tuesday
2018-05-09,6157.96,Wednesday
2018-05-10,4879.31,Thursday
2018-05-11,8907.4,Friday
2018-05-12,11096.36,Saturday
2018-05-13,8759.32,Sunday
2018-05-14,4543.32,Monday
2018-05-15,5384.06,Tuesday
2018-05-16,5274.93,Wednesday
2018-05-17,3377.88,Thursday
2018-05-18,6934.9,Friday
2018-05-19,13412.43,Saturday
2018-05-20,7459.41,Sunday
2018-05-21,3760.68,Monday
2018-05-22,4493.98,Tuesday
2018-05-23,5854.09,Wednesday
2018-05-24,4885.85,Thursday
2018-05-25,7273.26,Friday
2018-05-26,7213.28,Saturday
2018-05-27,6766.19,Sunday
2018-05-28,5544.95,Monday
2018-05-29,3291.08,Tuesday
2018-05-30,5085.32,Wednesday
2018-05-31,5602.54,Thursday
2018-06-01,9036.38,Friday
2018-06-02,10271.87,Saturday
2018-06-03,7546.57,Sunday
2018-06-04,3049.47,Monday
2018-06-05,3585.9,Tuesday
2018-06-06,5547.09,Wednesday
2018-06-07,3653.08,Thursday
2018-06-08,7300.31,Friday
2018-06-09,9625.17,Saturday
2018-06-10,6218.8,Sunday
2018-06-11,3472.75,Monday
2018-06-12,5185.02,Tuesday
2018-06-13,4328.51,Wednesday
2018-06-14,4634.55,Thursday
2018-06-15,7306.48,Friday
2018-06-16,14004.89,Saturday
2018-06-17,9771.02,Sunday
2018-06-18,3655.15,Monday
2018-06-19,4835.42,Tuesday
2018-06-20,6029.73,Wednesday
2018-06-21,5844.2,Thursday
2018-06-22,8804.3,Friday
2018-06-23,9750.91,Saturday
2018-06-24,7897.09,Sunday
2018-06-25,4755.91,Monday
2018-06-26,4544.38,Tuesday
2018-06-27,5976.33,Wednesday
2018-06-28,7075.2,Thursday
2018-06-29,6379.44,Friday
2018-06-30,8242.09,Saturday
2018-07-01,8308.26,Sunday
2018-07-02,3563.19,Monday
2018-07-03,6518.36,Tuesday
2018-07-04,5308.24,Wednesday
2018-07-05,3846.25,Thursday
2018-07-06,6750.04,Friday
2018-07-07,8089.0,Saturday
2018-07-08,7946.11,Sunday
2018-07-09,3626.17,Monday
2018-07-10,3559.82,Tuesday
2018-07-11,7816.36,Wednesday
2018-07-12,6131.18,Thursday
2018-07-13,6332.3,Friday
2018-07-14,6815.17,Saturday
2018-07-15,9120.48,Sunday
2018-07-16,5248.66,Monday
2018-07-17,4381.55,Tuesday
2018-07-18,7244.96,Wednesday
2018-07-19,4051.83,Thursday
2018-07-20,7503.39,Friday
2018-07-21,8273.79,Saturday
2018-07-22,6256.07,Sunday
2018-07-23,3157.3,Monday
2018-07-24,4275.33,Tuesday
2018-07-25,5293.77,Wednesday
2018-07-26,4751.41,Thursday
2018-07-27,6604.27,Friday
2018-07-28,10022.5,Saturday
2018-07-29,5985.3,Sunday
2018-07-30,3789.44,Monday
2018-07-31,4162.89,Tuesday
2018-08-01,5183.14,Wednesday
2018-08-02,5650.18,Thursday
2018-08-03,7782.85,Friday
2018-08-04,7162.59,Saturday
2018-08-05,7143.17,Sunday
2018-08-06,3138.63,Monday
2018-08-07,3948.01,Tuesday
2018-08-08,4773.89,Wednesday
2018-08-09,3937.96,Thursday
2018-08-10,6272.66,Friday
2018-08-11,6537.48,Saturday
2018-08-12,7464.85,Sunday
2018-08-13,2798.7,Monday
2018-08-14,4881.91,Tuesday
2018-08-15,5997.18,Wednesday
2018-08-16,3933.72,Thursday
2018-08-17,6545.65,Friday
2018-08-18,10851.34,Saturday
2018-08-19,6351.8,Sunday
2018-08-20,3668.3,Monday
2018-08-21,3196.3,Tuesday
2018-08-22,7171.25,Wednesday
2018-08-23,6396.01,Thursday
2018-08-24,7745.11,Friday
2018-08-25,13984.33,Saturday
2018-08-26,11447.61,Sunday
2018-08-27,3634.21,Monday
2018-08-28,3565.4,Tuesday
2018-08-29,4259.23,Wednesday
2018-08-30,4901.45,Thursday
2018-08-31,6486.55,Friday
2018-09-01,7081.0,Saturday
2018-09-02,6670.43,Sunday
2018-09-03,5460.17,Monday
2018-09-04,3496.64,Tuesday
2018-09-05,4905.11,Wednesday
2018-09-06,4653.6,Thursday
2018-09-07,9674.84,Friday
2018-09-08,7637.67,Saturday
2018-09-09,6144.62,Sunday
2018-09-10,3179.61,Monday
2018-09-11,3461.76,Tuesday
2018-09-12,5238.03,Wednesday
2018-09-13,5125.63,Thursday
2018-09-14,7728.63,Friday
2018-09-15,9588.4,Saturday
2018-09-16,6133.72,Sunday
2018-09-17,3637.73,Monday
2018-09-18,2824.39,Tuesday
2018-09-19,5413.36,Wednesday
2018-09-20,4957.69,Thursday
2018-09-21,6906.32,Friday
2018-09-22,10761.76,Saturday
2018-09-23,6942.5,Sunday
2018-09-24,2941.03,Monday
2018-09-25,3415.08,Tuesday
2018-09-26,5320.01,Wednesday
2018-09-27,5608.47,Thursday
2018-09-28,7412.81,Friday
2018-09-29,10428.07,Saturday
2018-09-30,6742.17,Sunday
2018-10-01,3903.86,Monday
2018-10-02,3207.16,Tuesday
2018-10-03,5183.3,Wednesday
2018-10-04,4934.85,Thursday
2018-10-05,7567.89,Friday
2018-10-06,10637.17,Saturday
2018-10-07,7434.71,Sunday
2018-10-08,3900.38,Monday
2018-10-09,3660.7,Tuesday
2018-10-10,5173.62,Wednesday
2018-10-11,4296.92,Thursday
2018-10-12,8448.08,Friday
2018-10-13,8841.2,Saturday
2018-10-14,7465.52,Sunday
2018-10-15,3030.24,Monday
2018-10-16,4358.01,Tuesday
2018-10-17,5195.08,Wednesday
2018-10-18,4849.17,Thursday
2018-10-19,6775.99,Friday
2018-10-20,12141.73,Saturday
2018-10-21,6079.82,Sunday
2018-10-22,3229.68,Monday
2018-10-23,3148.6,Tuesday
2018-10-24,4290.81,Wednesday
2018-10-25,4258.52,Thursday
2018-10-26,6739.38,Friday
2018-10-27,7844.02,Saturday
2018-10-28,8851.46,Sunday
2018-10-29,3619.15,Monday
2018-10-30,2663.61,Tuesday
2018-10-31,7044.88,Wednesday
2018-11-01,4874.63,Thursday
2018-11-02,7362.43,Friday
2018-11-03,8767.58,Saturday
2018-11-04,9129.52,Sunday
2018-11-05,3213.22,Monday
2018-11-06,4645.55,Tuesday
2018-11-07,5218.94,Wednesday
2018-11-08,4017.91,Thursday
2018-11-09,5063.56,Friday
2018-11-10,8964.41,Saturday
2018-11-11,7855.8,Sunday
2018-11-12,3028.22,Monday
2018-11-13,2810.93,Tuesday
2018-11-14,5295.08,Wednesday
2018-11-15,4991.36,Thursday
2018-11-16,5911.89,Friday
2018-11-17,9257.54,Saturday
2018-11-18,6996.26,Sunday
2018-11-19,3515.63,Monday
2018-11-20,4206.84,Tuesday
2018-11-21,6839.62,Wednesday
2018-11-22,4993.38,Thursday
2018-11-23,6595.26,Friday
2018-11-24,4973.31,Saturday
2018-11-25,4743.44,Sunday
2018-11-26,3235.97,Monday
2018-11-27,3120.59,Tuesday
2018-11-28,4581.35,Wednesday
2018-11-29,4334.7,Thursday
2018-11-30,9412.49,Friday
2018-12-01,12600.97,Saturday
2018-12-02,6601.6,Sunday
2018-12-03,4317.0,Monday
2018-12-04,3573.8,Tuesday
2018-12-05,6214.25,Wednesday
2018-12-06,4104.11,Thursday
2018-12-07,8336.57,Friday
2018-12-08,10309.16,Saturday
2018-12-09,7415.4,Sunday
2018-12-10,2997.95,Monday
2018-12-11,6585.56,Tuesday
2018-12-12,5714.37,Wednesday
2018-12-13,4691.57,Thursday
2018-12-14,12226.95,Friday
2018-12-15,9017.63,Saturday
2018-12-16,5537.66,Sunday
2018-12-17,4461.87,Monday
2018-12-18,4613.23,Tuesday
2018-12-19,9163.32,Wednesday
2018-12-20,4777.09,Thursday
2018-12-21,6383.84,Friday
2018-12-22,7369.51,Saturday
2018-12-23,5761.41,Sunday
2018-12-24,3660.61,Monday
2018-12-25,4039.9,Tuesday
